0.0,1.0
1.0,4.0
2.0,9.0
3.0,16.0
4.0,25.0
5.0,36.0
6.0,49.0
7.0,64.0
8.0,81.0
9.0,100.0
10.0,121.0
11.0,144.0
12.0,169.0
13.0,196.0
14.0,225.0
15.0,256.0
16.0,289.0
17.0,324.0
18.0,361.0
19.0,400.0
20.0,441.0
21.0,484.0
22.0,529.0
23.0,576.0
24.0,625.0
25.0,676.0
26.0,729.0
27.0,784.0
28.0,841.0
29.0,900.0
30.0,961.0
31.0,1024.0
32.0,1089.0
33.0,1156.0
34.0,1225.0
35.0,1296.0
36.0,1369.0
37.0,1444.0
38.0,1521.0
39.0,1600.0
40.0,1681.0
41.0,1764.0
42.0,1849.0
43.0,1936.0
44.0,2025.0
45.0,2116.0
46.0,2209.0
47.0,2304.0
48.0,2401.0
49.0,2500.0
50.0,2601.0
51.0,2704.0
52.0,2809.0
53.0,2916.0
54.0,3025.0
55.0,3136.0
56.0,3249.0
57.0,3364.0
58.0,3481.0
59.0,3600.0
60.0,3721.0
61.0,3844.0
62.0,3969.0
63.0,4096.0
64.0,4225.0
65.0,4356.0
66.0,4489.0
67.0,4624.0
68.0,4761.0
69.0,4900.0
70.0,5041.0
71.0,5184.0
72.0,5329.0
73.0,5476.0
74.0,5625.0
75.0,5776.0
76.0,5929.0
77.0,6084.0
78.0,6241.0
79.0,6400.0
80.0,6561.0
81.0,6724.0
82.0,6889.0
83.0,7056.0
84.0,7225.0
85.0,7396.0
86.0,7569.0
87.0,7744.0
88.0,7921.0
89.0,8100.0
90.0,8281.0
91.0,8464.0
92.0,8649.0
93.0,8836.0
94.0,9025.0
95.0,9216.0
96.0,9409.0
97.0,9604.0
98.0,9801.0
99.0,10000.0
100.0,10201.0
