1,17
2,27
3,35
4,34
5,38
6,55
7,66
8,85
9,93
10,115
11,142
12,172
13,204
14,234
15,260
16,293
17,326
18,366
19,398
20,434
21,481
22,525
23,581
24,628
25,676
26,729
27,790
28,849
29,917
30,978
31,1039
32,1099
33,1162
34,1227
35,1291
36,1362
37,1431
38,1513
39,1597
40,1681
41,1772
42,1854
43,1932
44,2028
45,2118
46,2206
47,2302
48,2388
49,2496
50,2603
51,2701
52,2804
53,2912
54,3024
55,3144
56,3250
57,3369
58,3484
59,3594
60,3718
61,3847
62,3962
63,4100
64,4221
65,4352
66,4489
67,4621
68,4750
69,4901
70,5038
71,5187
72,5331
73,5478
74,5626
75,5773
76,5914
77,6064
78,6216
79,6380
80,6542
81,6717
82,6884
83,7060
84,7232
85,7405
86,7572
87,7747
88,7917
89,8103
90,8285
91,8464
92,8654
93,8845
94,9037
95,9228
96,9415
97,9605
98,9704
99,9796
100,9897
